Produto:;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;QTD TOTAL:;PREÇO UNIT. R$;;;;;;;;;
Fibra Uso Geral Verde;56;72;40;37;97;49;12;67;91;29;89;100;; R$ 2,39 ;;;;;;;;;
Fibra Não Risca Azul;79;63;91;39;39;79;40;21;88;98;72;83;; R$ 1,55 ;;;;;;;;;
Fibra Não Risca Rosa;82;89;72;53;53;74;87;69;82;87;60;10;; R$ 1,87 ;;;;;;;;;
Disco de Limpeza;74;24;93;62;63;33;72;17;89;18;55;33;; R$ 3,60 ;;;;;;;;;
Escova de Nylon Manual;74;99;53;39;10;77;69;12;48;97;94;61;; R$ 4,80 ;;;;;;;;;
Escola Lavatina;10;50;31;16;89;74;90;45;51;28;11;99;; R$ 5,99 ;;;;;;;;;
Balde Plástico;43;14;49;25;60;24;77;50;28;59;90;89;; R$ 7,40 ;;;;;;;;;
Caneca de Diluição;12;30;72;19;88;99;58;55;49;46;57;78;; R$ 1,80 ;;;;;;;;;
Sabão em Pó;68;75;35;65;45;10;29;25;23;39;48;99;; R$ 1,20 ;;;;;;;;;
Sabão em Pedra;35;51;94;38;59;10;93;22;13;71;66;85;; R$ 10,00 ;;;;;;;;;
Desentupidor;15;27;82;90;52;62;45;62;94;80;11;33;; R$ 24,00 ;;;;;;;;;
Guardanapo;49;41;84;95;43;45;58;28;61;100;17;85;; R$ 25,00 ;;;;;;;;;
Suporte LT;14;48;28;13;64;18;71;61;12;40;33;76;; R$ 7,00 ;;;;;;;;;
Armação Mop Pó;17;35;76;17;15;90;83;89;75;27;41;26;; R$ 8,90 ;;;;;;;;;
Cabo de Alumínio;63;87;54;32;53;50;49;31;58;37;87;46;; R$ 7,00 ;;;;;;;;;
Rodo de Alumínio;37;97;15;39;17;59;17;83;19;60;85;41;; R$ 9,00 ;;;;;;;;;
Espanador;98;56;20;72;38;99;65;89;70;16;100;68;; R$ 5,90 ;;;;;;;;;
Saco de Lixo 20 litros;27;95;67;74;90;98;81;48;21;36;54;88;; R$ 2,50 ;;;;;;;;;
Saco de Lixo 40 litros;55;55;85;46;84;39;83;53;40;40;67;36;; R$ 3,99 ;;;;;;;;;
Saco de Lixo 100 litros;72;83;74;96;32;23;12;20;94;46;76;26;; R$ 4,58 ;;;;;;;;;
Lixeira;41;74;46;61;16;17;80;51;50;23;38;11;; R$ 12,00 ;;;;;;;;;
Lixeira Grande;21;89;25;79;63;95;81;26;16;55;94;64;; R$ 12,69 ;;;;;;;;;
Pá de Lixo;71;73;78;35;40;91;33;74;15;45;46;46;; R$ 2,39 ;;;;;;;;;
Luva Amarela P;92;62;25;26;80;34;12;53;53;89;91;88;; R$ 1,55 ;;;;;;;;;
Luva Amarela M;77;75;77;13;85;24;84;67;92;44;21;32;; R$ 1,87 ;;;;;;;;;
Luva Azul G;91;65;77;52;56;67;36;84;33;84;17;63;; R$ 3,60 ;;;;;;;;;
Luva Azul M;84;76;97;50;29;31;96;92;44;72;22;82;; R$ 4,80 ;;;;;;;;;
Máscara Descartável;74;21;68;100;69;70;73;75;22;22;24;85;; R$ 5,99 ;;;;;;;;;
Bota 34;26;26;95;69;83;25;89;69;98;42;28;93;; R$ 28,90 ;;;;;;;;;
